NP_012537.1_Saccharomyces_cerevisiae	Saccharomyces_cerevisiae
NP_986993.3_Eremothecium_gossypii	Eremothecium_gossypii
XP_001382423.2_Scheffersomyces_stipitis-newassembly	Scheffersomyces_stipitis
XP_001382823.2_Scheffersomyces_stipitis-newassembly	Scheffersomyces_stipitis
XP_001384616.2_Scheffersomyces_stipitis	Scheffersomyces_stipitis
XP_001483949.1_Meyerozyma_guilliermondii	Meyerozyma_guilliermondii
XP_001484573.1_Meyerozyma_guilliermondii	Meyerozyma_guilliermondii
XP_001485530.1_Meyerozyma_guilliermondii	Meyerozyma_guilliermondii
XP_001487296.1_Meyerozyma_guilliermondii	Meyerozyma_guilliermondii
XP_001523162.1_Lodderomyces_elongisporus	Lodderomyces_elongisporus
XP_001525979.1_Lodderomyces_elongisporus	Lodderomyces_elongisporus
XP_001526158.1_Lodderomyces_elongisporus	Lodderomyces_elongisporus
XP_001526163.1_Lodderomyces_elongisporus	Lodderomyces_elongisporus
XP_001528214.1_Lodderomyces_elongisporus	Lodderomyces_elongisporus
XP_002419518.1_Candida_dubliniensis	Candida_dubliniensis
XP_002419531.1_Candida_dubliniensis	Candida_dubliniensis
XP_002421133.1_Candida_dubliniensis	Candida_dubliniensis
XP_002421134.1_Candida_dubliniensis	Candida_dubliniensis
XP_002421168.1_Candida_dubliniensis	Candida_dubliniensis
XP_002421177.1_Candida_dubliniensis	Candida_dubliniensis
XP_002421194.1_Candida_dubliniensis	Candida_dubliniensis
XP_002494863.1_Zygosaccharomyces_rouxii	Zygosaccharomyces_rouxii
XP_002546159.1_Candida_tropicalis	Candida_tropicalis
XP_002546246.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002546248.1_Candida_tropicalis	Candida_tropicalis
XP_002546256.1_Candida_tropicalis	Candida_tropicalis
XP_002546260.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002547931.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002547932.1_Candida_tropicalis	Candida_tropicalis
XP_002547996.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002549489.1_Candida_tropicalis	Candida_tropicalis
